file_name,plan_date,rating
肖申克的救赎 The Shawshank Redemption,1994-09-10(多伦多电影节),9.7
霸王别姬,上映日期:,9.6
阿甘正传 Forrest Gump,1994-06-23(洛杉矶首映),9.5
这个杀手不太冷 Léon,上映日期:,9.4
泰坦尼克号 Titanic,上映日期:,9.4
美丽人生 La vita è bella,语言:,9.5
千与千寻 千と千尋の神隠し,语言:,9.4
辛德勒的名单 Schindler's List,上映日期:,9.5
盗梦空间 Inception,语言:,9.3
忠犬八公的故事 Hachi: A Dog's Tale,2010-03-12(英国),9.4
海上钢琴师 La leggenda del pianista sull'oceano,2019-11-15(中国大陆),9.3
楚门的世界 The Truman Show,1998-06-05(美国),9.3
星际穿越 Interstellar,上映日期:,9.3
三傻大闹宝莱坞 3 Idiots,语言:,9.2
机器人总动员 WALL·E,语言:,9.3
放牛班的春天 Les choristes,2004-10-16(中国大陆),9.3
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,语言:,9.2
熔炉 도가니,片长:,9.3
疯狂动物城 Zootopia,上映日期:,9.2
无间道 無間道,上映日期:,9.2
龙猫 となりのトトロ,上映日期:,9.2
教父 The Godfather,1972-03-15(纽约首映),9.3
当幸福来敲门 The Pursuit of Happyness,上映日期:,9.1
怦然心动 Flipped,上映日期:,9.1
触不可及 Intouchables,2011-11-02(法国),9.2
控方证人 Witness for the Prosecution,上映日期:,9.6
蝙蝠侠：黑暗骑士 The Dark Knight,官方网站:,9.2
活着,上映日期:,9.2
寻梦环游记 Coco,语言:,9.1
末代皇帝 The Last Emperor,上映日期:,9.3
乱世佳人 Gone with the Wind,语言:,9.3
何以为家 كفرناحوم,2018-05-17(戛纳电影节),9.1
摔跤吧！爸爸 Dangal,语言:,9.0
指环王3：王者无敌 The Lord of the Rings: The Return of the King,制片国家/地区:,9.2
飞屋环游记 Up,语言:,9.0
少年派的奇幻漂流 Life of Pi,语言:,9.1
十二怒汉 12 Angry Men,片长:,9.4
素媛 소원,2013-10-02(韩国),9.3
鬼子来了,2000-05-12(戛纳电影节),9.3
哈尔的移动城堡 ハウルの動く城,上映日期:,9.1
天空之城 天空の城ラピュタ,上映日期:,9.1
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,语言:,9.0
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,上映日期:,9.1
天堂电影院 Nuovo Cinema Paradiso,1988-11-17(意大利),9.2
罗马假日 Roman Holiday,上映日期:,9.0
闻香识女人 Scent of a Woman,片长:,9.1
我不是药神,2018-07-05(中国大陆),9.0
辩护人 변호인,2013-12-18(韩国),9.2
搏击俱乐部 Fight Club,语言:,9.0
教父2 The Godfather: Part Ⅱ,1974-12-12(纽约首映),9.2
死亡诗社 Dead Poets Society,1989-06-09(美国),9.1
狮子王 The Lion King,上映日期:,9.0
大闹天宫,1961(中国大陆),9.3
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,制片国家/地区:,9.1
猫鼠游戏 Catch Me If You Can,上映日期:,9.0
窃听风暴 Das Leben der Anderen,2006-03-23(德国),9.1
指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,制片国家/地区:,9.0
钢琴家 The Pianist,制片国家/地区:,9.2
黑客帝国 The Matrix,1999-03-31(美国),9.0
美丽心灵 A Beautiful Mind,2001-12-13(加州首映),9.0
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",上映日期:,9.1
饮食男女 飲食男女,1994-08-03(美国),9.1
飞越疯人院 One Flew Over the Cuckoo's Nest,片长:,9.1
本杰明·巴顿奇事 The Curious Case of Benjamin Button,上映日期:,8.9
让子弹飞,语言:,8.8
看不见的客人 Contratiempo,语言:,8.8
绿皮书 Green Book,上映日期:,8.9
西西里的美丽传说 Malèna,上映日期:,8.9
拯救大兵瑞恩 Saving Private Ryan,语言:,9.0
小鞋子 بچههای آسمان,语言:,9.2
海蒂和爷爷 Heidi,语言:,9.2
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,2008-09-12(英国),9.1
情书 Love Letter,1999-03(中国大陆),8.9
海豚湾 The Cove,2009-07-31(美国),9.3
音乐之声 The Sound of Music,语言:,9.0
美国往事 Once Upon a Time in America,1984-02-17(波士顿首映),9.2
致命魔术 The Prestige,上映日期:,8.9
低俗小说 Pulp Fiction,上映日期:,8.9
七宗罪 Se7en,语言:,8.8
沉默的羔羊 The Silence of the Lambs,上映日期:,8.8
蝴蝶效应 The Butterfly Effect,语言:,8.8
禁闭岛 Shutter Island,上映日期:,8.8
心灵捕手 Good Will Hunting,片长:,8.9
春光乍泄 春光乍洩,上映日期:,8.9
布达佩斯大饭店 The Grand Budapest Hotel,语言:,8.8
被嫌弃的松子的一生 嫌われ松子の一生,2006-05-27(日本),8.9
阿凡达 Avatar,语言:,8.7
摩登时代 Modern Times,上映日期:,9.3
剪刀手爱德华 Edward Scissorhands,上映日期:,8.7
勇敢的心 Braveheart,制片国家/地区:,8.9
喜剧之王 喜劇之王,上映日期:,8.7
致命ID Identity,上映日期:,8.8
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,上映日期:,8.8
天使爱美丽 Le fabuleux destin d'Amélie Poulain,2001-04-25(法国),8.7
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,2011-08-04(中国大陆),8.9
杀人回忆 살인의 추억,制片国家/地区:,8.8
断背山 Brokeback Mountain,制片国家/地区:,8.8
狩猎 Jagten,2013-01-10(丹麦),9.1
请以你的名字呼唤我 Call Me by Your Name,上映日期:,8.9
幽灵公主 もののけ姫,上映日期:,8.9
阳光灿烂的日子,1995-06-28(中国香港),8.8
小森林 夏秋篇 リトル・フォレスト 夏・秋,片长:,9.0
7号房的礼物 7번방의 선물,语言:,8.9
重庆森林 重慶森林,1994-07-14(中国香港),8.7
第六感 The Sixth Sense,上映日期:,8.9
入殓师 おくりびと,片长:,8.8
红辣椒 パプリカ,语言:,9.0
小森林 冬春篇 リトル・フォレスト 冬・春,片长:,9.0
消失的爱人 Gone Girl,语言:,8.7
爱在黎明破晓前 Before Sunrise,1995-01-27(美国),8.8
一一,上映日期:,9.0
唐伯虎点秋香 唐伯虎點秋香,上映日期:,8.6
侧耳倾听 耳をすませば,上映日期:,8.9
超脱 Detachment,2011-04-25(翠贝卡电影节),8.9
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,官方网站:,8.8
倩女幽魂,语言:,8.7
玛丽和马克思 Mary and Max,上映日期:,8.9
无人知晓 誰も知らない,2004-08-07(日本),9.1
甜蜜蜜,1996-11-02(中国香港),8.8
告白,上映日期:,8.7
萤火之森 蛍火の杜へ,制片国家/地区:,8.9
超能陆战队 Big Hero 6,官方网站:,8.7
大鱼 Big Fish,语言:,8.8
阳光姐妹淘 써니,2011-05-04(韩国),8.8
驯龙高手 How to Train Your Dragon,语言:,8.7
射雕英雄传之东成西就 射鵰英雄傳之東成西就,语言:,8.7
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,语言:,8.8
菊次郎的夏天 菊次郎の夏,2020-09(中国大陆),8.8
幸福终点站 The Terminal,上映日期:,8.8
爱在日落黄昏时 Before Sunset,2004-02-10(柏林电影节),8.8
恐怖直播 더 테러 라이브,上映日期:,8.8
完美的世界 A Perfect World,上映日期:,9.1
功夫,语言:,8.6
人生果实 人生フルーツ,片长:,9.5
神偷奶爸 Despicable Me,语言:,8.6
"怪兽电力公司 Monsters, Inc.",官方网站:,8.7
玩具总动员3 Toy Story 3,制片国家/地区:,8.8
傲慢与偏见 Pride & Prejudice,2005-09-16(英国),8.6
天书奇谭,1983(中国大陆),9.2
血战钢锯岭 Hacksaw Ridge,制片国家/地区:,8.7
教父3 The Godfather: Part III,1990-12-25(美国),8.9
时空恋旅人 About Time,上映日期:,8.7
风之谷 風の谷のナウシカ,上映日期:,8.9
釜山行 부산행,上映日期:,8.5
电锯惊魂 Saw,上映日期:,8.7
上帝之城 Cidade de Deus,2002-05-18(戛纳电影节),8.9
哪吒闹海,上映日期:,9.1
被解救的姜戈 Django Unchained,制片国家/地区:,8.7
喜宴 囍宴,制片国家/地区:,8.9
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,上映日期:,8.7
七武士 七人の侍,上映日期:,9.2
英雄本色,上映日期:,8.7
谍影重重3 The Bourne Ultimatum,上映日期:,8.8
我是山姆 I Am Sam,2001-12-03(美国),8.9
头号玩家 Ready Player One,上映日期:,8.7
岁月神偷 歲月神偷,2010-03-11(中国香港),8.7
纵横四海 緃横四海,语言:,8.8
疯狂原始人 The Croods,上映日期:,8.7
"三块广告牌 Three Billboards Outside Ebbing, Missouri",上映日期:,8.7
一个叫欧维的男人决定去死 En man som heter Ove,2015-12-25(瑞典),8.8
心迷宫,上映日期:,8.7
达拉斯买家俱乐部 Dallas Buyers Club,上映日期:,8.8
卢旺达饭店 Hotel Rwanda,制片国家/地区:,8.9
哈利·波特与密室 Harry Potter and the Chamber of Secrets,上映日期:,8.6
你的名字。 君の名は。,语言:,8.4
萤火虫之墓 火垂るの墓,上映日期:,8.7
花样年华 花樣年華,2000-09-29(中国香港),8.7
荒蛮故事 Relatos salvajes,上映日期:,8.8
记忆碎片 Memento,语言:,8.6
贫民窟的百万富翁 Slumdog Millionaire,上映日期:,8.6
真爱至上 Love Actually,语言:,8.6
东邪西毒 東邪西毒,制片国家/地区:,8.6
爆裂鼓手 Whiplash,2014-01-16(圣丹斯电影节),8.7
黑客帝国3：矩阵革命 The Matrix Revolutions,2003-11-05(美国/中国大陆),8.8
忠犬八公物语 ハチ公物語,片长:,9.2
模仿游戏 The Imitation Game,语言:,8.7
黑天鹅 Black Swan,2010-09-01(威尼斯电影节),8.6
头脑特工队 Inside Out,语言:,8.7
新世界 신세계,上映日期:,8.8
未麻的部屋 Perfect Blue,上映日期:,8.9
你看起来好像很好吃 おまえうまそうだな,语言:,8.9
海街日记 海街diary,上映日期:,8.8
雨人 Rain Man,片长:,8.7
无敌破坏王 Wreck-It Ralph,语言:,8.7
冰川时代 Ice Age,上映日期:,8.6
恋恋笔记本 The Notebook,2004-06-25(美国),8.5
惊魂记 Psycho,上映日期:,9.0
二十二,片长:,8.7
海边的曼彻斯特 Manchester by the Sea,2017-08-25(中国大陆),8.6
奇迹男孩 Wonder,语言:,8.6
恐怖游轮 Triangle,上映日期:,8.5
房间 Room,2015-09-04(特柳赖德电影节),8.8
小偷家族 万引き家族,语言:,8.7
虎口脱险 La grande vadrouille,1966-12-08(法国),8.9
魔女宅急便 魔女の宅急便,上映日期:,8.6
绿里奇迹 The Green Mile,制片国家/地区:,8.8
雨中曲 Singin' in the Rain,上映日期:,9.0
疯狂的石头,2006-06-30(中国大陆),8.5
爱在午夜降临前 Before Midnight,上映日期:,8.8
人工智能 Artificial Intelligence: AI,上映日期:,8.6
罗生门 羅生門,上映日期:,8.8
终结者2：审判日 Terminator 2: Judgment Day,1991-07-03(美国),8.7
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,上映日期:,8.4
2001太空漫游 2001: A Space Odyssey,上映日期:,8.8
可可西里,2004-10-01(中国大陆),8.8
魂断蓝桥 Waterloo Bridge,上映日期:,8.8
海洋 Océans,2011-08-12(中国大陆),9.1
城市之光 City Lights,语言:,9.3
燃情岁月 Legends of the Fall,语言:,8.8
牯岭街少年杀人事件 牯嶺街少年殺人事件,1991-07-27(中国台湾),8.8
穿越时空的少女 時をかける少女,制片国家/地区:,8.6
色，戒,上映日期:,8.5
新龙门客栈 新龍門客棧,语言:,8.6
青蛇,语言:,8.5
无耻混蛋 Inglourious Basterds,2009-05-20(戛纳电影节),8.6
源代码 Source Code,上映日期:,8.5
完美陌生人 Perfetti sconosciuti,2018-05-25(中国大陆),8.5
阿飞正传 阿飛正傳,上映日期:,8.5
遗愿清单 The Bucket List,上映日期:,8.6
大佛普拉斯,2017-10-13(中国台湾),8.7
血钻 Blood Diamond,上映日期:,8.7
九品芝麻官,上映日期:,8.5
谍影重重2 The Bourne Supremacy,语言:,8.7
香水 Perfume: The Story of a Murderer,上映日期:,8.5
地球上的星星 Taare Zameen Par,语言:,8.9
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,上映日期:,8.5
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,语言:,8.6
战争之王 Lord of War,2005-09-16(美国),8.6
谍影重重 The Bourne Identity,语言:,8.6
步履不停 歩いても 歩いても,2008-06-28(日本),8.8
彗星来的那一夜 Coherence,上映日期:,8.5
猜火车 Trainspotting,1996-02-23(英国),8.5
朗读者 The Reader,2008-12-10(纽约首映),8.6
浪潮 Die Welle,2008-03-13(德国),8.7
波西米亚狂想曲 Bohemian Rhapsody,语言:,8.7
小萝莉的猴神大叔 Bajrangi Bhaijaan,上映日期:,8.4
再次出发之纽约遇见你 Begin Again,上映日期:,8.6
东京物语 東京物語,1953-11-03(日本),9.2
驴得水,2016-10-28(中国大陆),8.3
聚焦 Spotlight,上映日期:,8.8
追随 Following,上映日期:,8.9
千钧一发 Gattaca,上映日期:,8.8
我爱你 그대를 사랑합니다,上映日期:,9.0
一次别离 جدایی نادر از سیمین,2012-11-13(中国大陆),8.7
黑鹰坠落 Black Hawk Down,语言:,8.7
黑客帝国2：重装上阵 The Matrix Reloaded,2003-07-18(中国大陆),8.6
网络谜踪 Searching,语言:,8.6
四个春天,2017-12-30(UCCA艺术放映),8.9
发条橙 A Clockwork Orange,上映日期:,8.6
E.T. 外星人 E.T.: The Extra-Terrestrial,1982-05-26(戛纳电影节),8.6
